TransactionID,CustomerID,CartStartTimestamp,TransactionTimestamp,TransactionDuration,ProductPurchased,Quantity,PaymentMethod,DeviceUsed,BrowserUsed,IPAddress,SuspiciousFlag,Abandoned,DeliveryStatus,ExpectedDeliveryDate,Discount,Region
TRANS_00280,CUST_085,1/5/2025,1/6/2025,449,PROD_0006,1,Credit Card,Desktop,Edge,140.255.200.97,True,No,Delayed,1/25/2025,0.15,Africa
TRANS_00194,CUST_047,1/3/2025,1/4/2025,569,PROD_0022,1,Mobile Payment,Mobile,Chrome,38.82.93.130,True,No,Pending,1/25/2025,0.15,Asia Pacific
TRANS_00204,CUST_034,1/19/2025,1/20/2025,232,PROD_0046,2,Bank Transfer,Tablet,Edge,159.35.149.39,False,No,Delayed,2/25/2025,0.15,South America
TRANS_00193,CUST_024,1/17/2025,1/18/2025,358,PROD_0024,1,Bank Transfer,Desktop,Edge,14.241.31.43,False,No,Delivered,1/25/2025,0.15,North America
TRANS_00187,CUST_023,1/3/2025,1/4/2025,396,PROD_0030,2,Bank Transfer,Tablet,Edge,32.184.17.240,True,No,Delayed,1/25/2025,0.15,North America
TRANS_00024,CUST_100,1/21/2025,1/22/2025,359,PROD_0032,1,Mobile Payment,Mobile,Chrome,144.32.7.207,False,No,Delivered,1/25/2025,0.15,Africa
TRANS_00019,CUST_083,1/8/2025,1/9/2025,357,PROD_0008,5,Credit Card,Mobile,Edge,162.217.184.250,False,No,Pending,2/25/2025,0.15,North America
TRANS_00112,CUST_075,1/17/2025,1/18/2025,441,PROD_0003,3,PayPal,Desktop,Firefox,121.183.222.17,True,No,Pending,2/25/2025,0.15,Oceania
TRANS_00066,CUST_069,1/19/2025,1/20/2025,581,PROD_0012,3,Mobile Payment,Desktop,Safari,195.238.170.83,False,No,Pending,1/25/2025,0.15,Europe
TRANS_00405,CUST_029,1/25/2025,1/26/2025,556,PROD_0018,1,Mobile Payment,Mobile,Chrome,71.197.70.69,False,No,Delivered,1/30/2025,0.15,South America
TRANS_00111,CUST_065,1/19/2025,1/20/2025,296,PROD_0024,3,PayPal,Tablet,Safari,199.103.6.20,False,No,Pending,1/25/2025,0.15,Africa
TRANS_00183,CUST_080,1/16/2025,1/17/2025,532,PROD_0014,1,Credit Card,Tablet,Safari,208.148.159.203,False,No,Pending,1/25/2025,0.15,Africa
TRANS_00086,CUST_099,1/3/2025,1/4/2025,213,PROD_0002,1,Bank Transfer,Tablet,Safari,125.157.79.226,False,No,Delayed,1/25/2025,0.15,Africa
TRANS_00186,CUST_054,12/31/2024,1/1/2025,72,PROD_0027,1,Credit Card,Desktop,Edge,86.170.238.20,True,No,Delivered,1/25/2025,0.15,Europe
TRANS_00413,CUST_084,1/9/2025,1/10/2025,462,PROD_0032,1,PayPal,Desktop,Safari,154.189.255.84,True,No,Delivered,1/13/2025,0.15,South America
TRANS_00116,CUST_021,1/7/2025,1/8/2025,113,PROD_0015,1,Credit Card,Tablet,Firefox,197.138.82.203,False,No,Pending,1/25/2025,0.15,Africa
TRANS_00188,CUST_023,1/20/2025,1/21/2025,90,PROD_0047,1,Bank Transfer,Tablet,Chrome,23.53.108.104,False,No,Delivered,1/25/2025,0.15,Africa
TRANS_00057,CUST_020,1/11/2025,1/12/2025,288,PROD_0014,1,Credit Card,Desktop,Edge,201.229.74.54,True,No,Pending,1/25/2025,0.15,Oceania
TRANS_00257,CUST_096,1/8/2025,1/9/2025,45,PROD_0026,1,Mobile Payment,Desktop,Firefox,173.158.197.48,False,No,Delivered,1/25/2025,0.15,South America
TRANS_00227,CUST_045,1/3/2025,1/4/2025,585,PROD_0020,3,PayPal,Tablet,Edge,53.136.161.133,False,No,Delivered,2/25/2025,0.15,Asia Pacific
TRANS_00197,CUST_004,12/31/2024,1/1/2025,433,PROD_0026,1,Bank Transfer,Tablet,Edge,83.103.231.126,True,No,Pending,1/25/2025,0.15,South America
TRANS_00264,CUST_019,1/4/2025,1/5/2025,276,PROD_0016,1,Mobile Payment,Tablet,Edge,52.58.206.134,False,No,Delayed,1/25/2025,0.15,Europe
TRANS_00273,CUST_079,1/1/2025,1/2/2025,175,PROD_0034,1,Bank Transfer,Tablet,Edge,21.160.45.241,True,No,Delayed,2/25/2025,0.15,South America
TRANS_00294,CUST_055,1/8/2025,1/9/2025,258,PROD_0024,3,PayPal,Mobile,Firefox,109.27.89.117,False,No,Delivered,2/25/2025,0.15,Africa
TRANS_00272,CUST_037,1/8/2025,1/9/2025,189,PROD_0040,1,PayPal,Tablet,Edge,1.92.88.21,True,No,Delivered,1/25/2025,0.15,North America
TRANS_00221,CUST_093,1/6/2025,1/7/2025,86,PROD_0010,1,PayPal,Mobile,Edge,79.153.182.74,False,No,Pending,1/25/2025,0.15,Asia Pacific
TRANS_00029,CUST_052,1/2/2025,1/3/2025,549,PROD_0031,2,PayPal,Tablet,Firefox,44.149.36.193,True,No,Pending,1/25/2025,0.15,Oceania
TRANS_00270,CUST_092,1/7/2025,1/8/2025,441,PROD_0040,1,Mobile Payment,Desktop,Chrome,155.161.86.43,True,No,Delayed,1/25/2025,0.15,Asia Pacific
TRANS_00235,CUST_054,1/20/2025,1/21/2025,424,PROD_0036,1,Bank Transfer,Desktop,Edge,198.157.158.164,False,No,Delivered,1/25/2025,0.15,Asia Pacific
TRANS_00150,CUST_030,1/12/2025,1/13/2025,481,PROD_0023,1,Credit Card,Tablet,Safari,196.53.115.198,True,No,Delivered,1/25/2025,0.15,South America
TRANS_00278,CUST_024,1/22/2025,1/23/2025,239,PROD_0007,1,Mobile Payment,Tablet,Safari,90.115.145.28,True,No,Delayed,1/25/2025,0.15,Asia Pacific
TRANS_00154,CUST_083,12/31/2024,1/1/2025,485,PROD_0010,1,PayPal,Tablet,Chrome,209.181.91.236,True,No,Delayed,2/25/2025,0.15,Asia Pacific
TRANS_00267,CUST_011,1/18/2025,1/19/2025,429,PROD_0049,2,PayPal,Tablet,Chrome,141.13.222.211,False,No,Delivered,2/25/2025,0.15,Africa
TRANS_00190,CUST_020,1/22/2025,1/23/2025,131,PROD_0029,1,Bank Transfer,Mobile,Safari,77.254.93.94,True,No,Delayed,1/25/2025,0.15,South America
TRANS_00097,CUST_027,1/14/2025,1/15/2025,420,PROD_0021,2,Bank Transfer,Mobile,Firefox,174.252.211.230,False,No,Pending,1/25/2025,0.15,Africa
TRANS_00034,CUST_050,1/14/2025,1/15/2025,263,PROD_0003,2,Bank Transfer,Tablet,Chrome,151.9.86.28,False,No,Delivered,1/25/2025,0.15,Africa
TRANS_00001,CUST_060,1/19/2025,1/20/2025,524,PROD_0012,3,PayPal,Mobile,Firefox,194.118.226.94,False,No,Delayed,2/25/2025,0.15,Oceania
TRANS_00184,CUST_054,1/13/2025,1/14/2025,222,PROD_0026,1,Mobile Payment,Desktop,Chrome,192.200.197.109,True,No,Delivered,1/25/2025,0.15,Asia Pacific
TRANS_00293,CUST_042,1/11/2025,1/12/2025,161,PROD_0005,2,PayPal,Tablet,Chrome,133.109.198.189,True,No,Delayed,1/25/2025,0.15,Africa
TRANS_00003,CUST_084,1/1/2025,1/2/2025,454,PROD_0021,5,Bank Transfer,Tablet,Chrome,116.103.41.48,False,No,Delayed,1/25/2025,0.15,Europe
TRANS_00013,CUST_095,1/3/2025,1/4/2025,402,PROD_0019,3,Bank Transfer,Tablet,Firefox,189.102.133.48,False,No,Delayed,1/25/2025,0.15,Europe
TRANS_00219,CUST_098,1/6/2025,1/7/2025,539,PROD_0014,1,Bank Transfer,Mobile,Chrome,22.246.164.159,False,No,Delivered,2/25/2025,0.15,Africa
TRANS_00180,CUST_085,1/21/2025,1/22/2025,404,PROD_0009,1,Bank Transfer,Mobile,Chrome,122.120.15.48,False,No,Delayed,1/25/2025,0.15,Europe
TRANS_00243,CUST_061,1/8/2025,1/9/2025,212,PROD_0002,1,Bank Transfer,Desktop,Chrome,89.115.211.136,False,No,Delivered,1/25/2025,0.15,Europe
TRANS_00286,CUST_076,1/3/2025,1/4/2025,224,PROD_0021,1,Bank Transfer,Desktop,Chrome,8.181.54.212,False,No,Pending,1/25/2025,0.15,South America
TRANS_00298,CUST_075,1/21/2025,1/22/2025,192,PROD_0029,2,PayPal,Tablet,Firefox,112.207.166.243,True,No,Pending,2/25/2025,0.15,Africa
TRANS_00412,CUST_006,1/19/2025,1/20/2025,502,PROD_0029,1,Credit Card,Mobile,Chrome,187.41.191.251,False,No,Delivered,2/9/2025,0.15,Oceania
TRANS_00064,CUST_013,1/19/2025,1/20/2025,492,PROD_0022,2,Bank Transfer,Mobile,Edge,59.1.107.55,True,No,Pending,1/25/2025,0.15,Asia Pacific
TRANS_00205,CUST_080,1/7/2025,1/8/2025,329,PROD_0013,1,Mobile Payment,Mobile,Safari,69.78.27.75,False,No,Delayed,2/25/2025,0.15,Oceania
TRANS_00269,CUST_013,1/1/2025,1/2/2025,410,PROD_0021,2,Bank Transfer,Desktop,Edge,89.174.189.156,False,No,Delayed,1/25/2025,0.15,Oceania
TRANS_00159,CUST_094,1/16/2025,1/17/2025,349,PROD_0010,1,PayPal,Mobile,Firefox,32.226.187.17,False,No,Delivered,1/25/2025,0.15,Europe
TRANS_00209,CUST_043,1/10/2025,1/11/2025,416,PROD_0043,1,Mobile Payment,Mobile,Safari,104.36.86.88,True,No,Pending,1/25/2025,0.15,Oceania
TRANS_00091,CUST_016,1/8/2025,1/9/2025,369,PROD_0034,2,PayPal,Desktop,Firefox,31.236.85.43,True,No,Pending,1/25/2025,0.15,Africa
TRANS_00135,CUST_015,1/6/2025,1/7/2025,343,PROD_0031,3,Credit Card,Mobile,Safari,17.117.223.112,False,No,Delivered,2/25/2025,0.15,Asia Pacific
TRANS_00199,CUST_027,1/16/2025,1/17/2025,235,PROD_0047,5,Bank Transfer,Tablet,Chrome,15.84.132.138,True,No,Delivered,1/25/2025,0.15,North America
TRANS_00233,CUST_061,1/4/2025,1/5/2025,78,PROD_0014,1,Mobile Payment,Tablet,Safari,163.127.191.114,False,No,Pending,1/25/2025,0.15,South America
TRANS_00149,CUST_039,1/23/2025,1/24/2025,211,PROD_0017,2,Credit Card,Desktop,Edge,50.122.187.209,True,No,Delivered,1/25/2025,0.15,North America
TRANS_00115,CUST_016,1/4/2025,1/5/2025,389,PROD_0044,1,Credit Card,Desktop,Firefox,149.238.130.138,True,No,Delayed,1/25/2025,0.15,Africa
TRANS_00058,CUST_025,1/2/2025,1/3/2025,58,PROD_0047,1,Mobile Payment,Desktop,Firefox,58.231.127.16,False,No,Delayed,1/25/2025,0.15,Africa
TRANS_00117,CUST_097,1/8/2025,1/9/2025,377,PROD_0001,1,Bank Transfer,Mobile,Edge,49.22.28.118,False,No,Delivered,2/25/2025,0.15,Africa
TRANS_00218,CUST_049,1/20/2025,1/21/2025,343,PROD_0020,2,PayPal,Mobile,Edge,201.57.93.40,True,No,Delayed,1/25/2025,0.15,North America
TRANS_00048,CUST_059,1/10/2025,1/11/2025,489,PROD_0029,1,Bank Transfer,Desktop,Firefox,46.199.163.29,False,No,Delayed,1/25/2025,0.15,North America
TRANS_00014,CUST_020,1/6/2025,1/7/2025,299,PROD_0019,1,PayPal,Tablet,Chrome,152.26.215.82,True,No,Delayed,2/25/2025,0.15,Europe
